species,study.id,dataset.id,wild.lab,order,family,genus,trophic.group,latitude,longitude,study.location,diet,diet.details,temperature.c,temperature.variation,method,absorption.efficiency.n,component,absorption.efficiency,age.class,bodylength.metric,ln.bodylength,bodylength.avg.mm,bodylength.min.mm,bodylength.max.mm,bodylength.sd.mm,bodylength.se.mm,bodylength.n,mass.avg.g,mass.sd.g,mass.min.g,mass.max.g,mass.n,reference,notes,more notes,
Girella_tricuspidata,15,15A,lab,Perciformes,Kyphosidae,Girella,herbivore,-33.8,151.2,New South Wales Australia,macroalgae,Enteromorpha intestinalis,20,1,total collection,6,lipid,0.553,,,5.386786015,218.5,186,251,,,,,,111,276,,"Anderson, T. A. (1988). The effect of feeding frequency on utilization of algal nutrients by the marine herbivore, the luderick, Girella tricuspidata (Quoy and Gaimard). Journal of Fish Biology, 32(6), 911–921.","Estimated length using weight-length relationship described in Pollock, B. R. (1981). Age determination and growth of luderick, Girella tricuspidata (Quoy and Gaimard), taken from Moreton Bay, Australia. Journal of Fish Biology, 19(4), 475–485.    Only took data for fish fed ad libitum.",,
Girella_tricuspidata,15,15A,lab,Perciformes,Kyphosidae,Girella,herbivore,-33.8,151.2,New South Wales Australia,macroalgae,Enteromorpha intestinalis,20,1,total collection,9,total,0.784,,,5.386786015,218.5,186,251,,,,,,111,276,,"Anderson, T. A. (1988). The effect of feeding frequency on utilization of algal nutrients by the marine herbivore, the luderick, Girella tricuspidata (Quoy and Gaimard). Journal of Fish Biology, 32(6), 911–921.","Estimated length using weight-length relationship described in Pollock, B. R. (1981). Age determination and growth of luderick, Girella tricuspidata (Quoy and Gaimard), taken from Moreton Bay, Australia. Journal of Fish Biology, 19(4), 475–485.  Took midpoint length as average.  Only took data for fish fed ad libitum.",,
Girella_tricuspidata,15,15A,lab,Perciformes,Kyphosidae,Girella,herbivore,-33.8,151.2,New South Wales Australia,macroalgae,Enteromorpha intestinalis,20,1,total collection,6,protein,0.792,,,5.386786015,218.5,186,251,,,,,,111,276,,"Anderson, T. A. (1988). The effect of feeding frequency on utilization of algal nutrients by the marine herbivore, the luderick, Girella tricuspidata (Quoy and Gaimard). Journal of Fish Biology, 32(6), 911–921.","Estimated length using weight-length relationship described in Pollock, B. R. (1981). Age determination and growth of luderick, Girella tricuspidata (Quoy and Gaimard), taken from Moreton Bay, Australia. Journal of Fish Biology, 19(4), 475–485.  Took midpoint length as average.  Only took data for fish fed ad libitum.",,
Girella_tricuspidata,15,15A,lab,Perciformes,Kyphosidae,Girella,herbivore,-33.8,151.2,New South Wales Australia,macroalgae,Enteromorpha intestinalis,20,1,total collection,6,carbon,0.819,,,5.386786015,218.5,186,251,,,,,,111,276,,"Anderson, T. A. (1988). The effect of feeding frequency on utilization of algal nutrients by the marine herbivore, the luderick, Girella tricuspidata (Quoy and Gaimard). Journal of Fish Biology, 32(6), 911–921.","Estimated length using weight-length relationship described in Pollock, B. R. (1981). Age determination and growth of luderick, Girella tricuspidata (Quoy and Gaimard), taken from Moreton Bay, Australia. Journal of Fish Biology, 19(4), 475–485.  Took midpoint length as average.  Only took data for fish fed ad libitum.",,
Girella_tricuspidata,15,15A,lab,Perciformes,Kyphosidae,Girella,herbivore,-33.8,151.2,New South Wales Australia,macroalgae,Enteromorpha intestinalis,20,1,total collection,6,nitrogen,0.835,,,5.386786015,218.5,186,251,,,,,,111,276,,"Anderson, T. A. (1988). The effect of feeding frequency on utilization of algal nutrients by the marine herbivore, the luderick, Girella tricuspidata (Quoy and Gaimard). Journal of Fish Biology, 32(6), 911–921.","Estimated length using weight-length relationship described in Pollock, B. R. (1981). Age determination and growth of luderick, Girella tricuspidata (Quoy and Gaimard), taken from Moreton Bay, Australia. Journal of Fish Biology, 19(4), 475–485.  Took midpoint length as average.  Only took data for fish fed ad libitum.",,
Odax_pullus,10,10A,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Ecklonia radiata,13.5,9 - 18 C,marker,2,organic,0.043,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10A,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Ecklonia radiata,13.5,9 - 18 C,marker,2,nitrogen,0.102,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10A,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Ecklonia radiata,13.5,9 - 18 C,marker,2,total,0.107,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10B,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Carpophyllum maschalocarpum,13.5,9 - 18 C,marker,3,nitrogen,0.283,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10B,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Carpophyllum maschalocarpum,13.5,9 - 18 C,marker,3,organic,0.312,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
