species,study.id,preferred,type,genus,family,order,trophic.group,diet,diet.reference,latitude,longitude,study.location,sample.period,temperature.c,age.class,bodylength.metric,bodylength.mean.mm,bodylength.min.mm,bodylength.max.mm,bodylength.sd.mm,bodylength.n,ln.bodylength,gutlength.mean.mm,ln.gutlength.mean,gutlength.sd,relativelength.min,relativelength.max,relativelength.mean,relativelength.sd,relativelength.n,ln.relativelength,reference,notes,,
Girella_laevifrons,38,Y,intestine,Girella,Girellidae,Perciformes,omnivore,omnivore,same,-28.1,-71.1,Chile,July 1996 to January 1997,15.7,,total,107.979016,67.682,171.4123,21.80960917,25,4.681936912,189.8806634,5.246395787,,0.68873,2.286925,1.75849596,0.345874293,25,0.564458876,"Aldana M., Pulgar J.M., Ogalde F., & Ojeda F.P. (2002).  Morphometric and parasitological evidence for ontogenetic and geographical dietary shifts in intertidal fishes.  Bulletin of Marine Science, 70(1), 55-74.  ",,,
Girella_laevifrons,38,Y,intestine,Girella,Girellidae,Perciformes,omnivore,omnivore,same,-23.3,-70.6,Chile,July 1996 to January 1997,17.5,,total,97.2749125,67.1541,113.2885,13.91729845,16,4.577541119,198.3155071,5.289859233,,1.351176,2.986833,2.03871175,0.507398754,16,0.712318113,"Aldana M., Pulgar J.M., Ogalde F., & Ojeda F.P. (2002).  Morphometric and parasitological evidence for ontogenetic and geographical dietary shifts in intertidal fishes.  Bulletin of Marine Science, 70(1), 55-74.  ",,,
Girella_laevifrons,38,Y,intestine,Girella,Girellidae,Perciformes,omnivore,omnivore,same,-23.3,-70.6,Chile,July 1996 to January 1997,17.5,,total,128.0938,116.303,147.821,10.93787417,7,4.852762808,314.8532428,5.752106634,,1.837283,2.862805,2.457989714,0.411704336,7,0.899343826,"Aldana M., Pulgar J.M., Ogalde F., & Ojeda F.P. (2002).  Morphometric and parasitological evidence for ontogenetic and geographical dietary shifts in intertidal fishes.  Bulletin of Marine Science, 70(1), 55-74.  ",,,
Graus_nigra,38,Y,intestine,Graus,Kyphosidae,Perciformes,omnivore,omnivore,same,-33.5,-71.7,Chile,July 1996 to January 1997,14.6,,total,97.7764375,49.7934,179.3801,34.37463506,40,4.582683623,96.91186402,4.573801947,,0.499095,1.486872,0.99115765,0.255214443,40,-0.008881676,"Aldana M., Pulgar J.M., Ogalde F., & Ojeda F.P. (2002).  Morphometric and parasitological evidence for ontogenetic and geographical dietary shifts in intertidal fishes.  Bulletin of Marine Science, 70(1), 55-74.  ",,,
Graus_nigra,38,Y,intestine,Graus,Kyphosidae,Perciformes,omnivore,omnivore,same,-28.1,-71.1,Chile,July 1996 to January 1997,15.7,,total,107.6017826,71.673,189.694,34.48577375,23,4.678437215,74.98751852,4.31732168,,0.391988,0.97571,0.696898478,0.171201719,23,-0.361115534,"Aldana M., Pulgar J.M., Ogalde F., & Ojeda F.P. (2002).  Morphometric and parasitological evidence for ontogenetic and geographical dietary shifts in intertidal fishes.  Bulletin of Marine Science, 70(1), 55-74.  ",,,
Graus_nigra,38,Y,intestine,Graus,Kyphosidae,Perciformes,omnivore,omnivore,same,-23.3,-70.6,Chile,July 1996 to January 1997,17.5,,total,105.25025,56.617,194.788,34.94768374,28,4.656340848,43.68033104,3.77689791,,0.202313,0.796763,0.415014036,0.133846623,28,-0.879442938,"Aldana M., Pulgar J.M., Ogalde F., & Ojeda F.P. (2002).  Morphometric and parasitological evidence for ontogenetic and geographical dietary shifts in intertidal fishes.  Bulletin of Marine Science, 70(1), 55-74.  ",,,
Micrometrus_minimus,4,Y,entire gut,Micrometrus,Embiotocidae,Perciformes,carnivore,invertebrates,same,32.8,117.3,USA,"January to August 1984, 1985 and 1986",16.6,,standard,69,58,84,14,3,4.234106505,69,4.234106505,,0.9,1,1,0.1,3,0,"Barry, J. P., & Ehret, M. J. (1993). Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern California. Environmental Biology of Fishes, 37(1), 75–95.",,,
Girella_nigricans,4,Y,entire gut,Girella,Girellidae,Perciformes,herbivore,macroalgae,same,32.8,117.3,USA,"January to August 1984, 1985 and 1986",16.6,,standard,66.56066444,38.9304,93.611,17.42829421,45,4.198113779,166.7550243,5.116525815,,2.0467,3.1211,2.505308889,0.303606313,45,0.918412036,"Barry, J. P., & Ehret, M. J. (1993). Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern California. Environmental Biology of Fishes, 37(1), 75–95.",Separated larger fish that were primarily herbivorous (>100 mm) and smaller omnivorous fishes (<100 mm).,,
Girella_nigricans,4,Y,entire gut,Girella,Girellidae,Perciformes,herbivore,macroalgae,same,32.8,117.3,USA,"January to August 1984, 1985 and 1986",16.6,,standard,131.6,100,172.8,21.6,18,4.879767019,381.64,5.944477756,,2.5,3.8,2.9,0.3,18,1.064710737,"Barry, J. P., & Ehret, M. J. (1993). Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern California. Environmental Biology of Fishes, 37(1), 75–95.",Separated larger fish that were primarily herbivorous (>100 mm) and smaller omnivorous fishes (<100 mm).,,
Kyphosus_azureus,4,Y,entire gut,Kyphosus,Kyphosidae,Perciformes,herbivore,macroalgae,same,32.8,117.3,USA,"January to August 1984, 1985 and 1986",16.6,,standard,78.04916471,57.94,124.0232,20.24848788,17,4.357338945,187.3179953,5.232807682,,1.9,2.9,2.4,0.3,17,0.875468737,"Barry, J. P., & Ehret, M. J. (1993). Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern California. Environmental Biology of Fishes, 37(1), 75–95.",,,
