species,study.id,dataset.id,wild.lab,order,family,genus,trophic.group,latitude,longitude,study.location,diet,diet2,diet.details,temperature.c,temperature.variation,passage.time.h,ln.passage.time,passage.time.sd,passage.time.n,age.class,bodylength.metric,bodylength.avg.mm,ln.bodylength,bodylength.min.mm,bodylength.max.mm,bodylength.sd.mm,bodylength.n,mass.avg.g,mass.sd.g,mass.se.g,mass.min.g,mass.max.g,mass.n,reference,notes
Odax_pullus,28,28A,lab,Perciformes,Labridae,Odax,herbivore,-41.3,174.9,Wellington New Zealand,macroalgae,macroalgae (fermenter),C. maschalocarpum,12,,21.5,3.068052935,,7,adult,standard,280,5.634789603,280,,,,,,,,,,"Baker, E (2011).  The Nutritional Ecology of Odax pullus.  MSc thesis.  University of Auckland.",
Odax_pullus,28,28A,lab,Perciformes,Labridae,Odax,herbivore,-41.3,174.9,Wellington New Zealand,macroalgae,macroalgae (fermenter),Ecklonia radiata,12,,22.5,3.113515309,,9,adult,standard,280,5.634789603,280,,,,,,,,,,"Baker, E (2011).  The Nutritional Ecology of Odax pullus.  MSc thesis.  University of Auckland.",
Odax_pullus,28,28A,lab,Perciformes,Labridae,Odax,herbivore,-41.3,174.9,Wellington New Zealand,macroalgae,macroalgae (fermenter),M. pyrifera,12,,15.2,2.721295428,,5,adult,standard,280,5.634789603,280,,,,,,,,,,"Baker, E (2011).  The Nutritional Ecology of Odax pullus.  MSc thesis.  University of Auckland.",
Odax_pullus,28,28A,lab,Perciformes,Labridae,Odax,herbivore,-41.3,174.9,Wellington New Zealand,macroalgae,macroalgae (fermenter),U. pinnatifida,12,,15.4,2.734367509,,6,adult,standard,280,5.634789603,280,,,,,,,,,,"Baker, E (2011).  The Nutritional Ecology of Odax pullus.  MSc thesis.  University of Auckland.",
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,20.0954,3.000490933,,1,adult,total,271.084,5.602428736,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,24.0487,3.180080941,,1,adult,total,283.133,5.645916752,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,28.2575,3.341358909,,1,adult,total,181.928,5.203611004,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,32.1491,3.470384457,,1,adult,total,342.169,5.835304767,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,32.367,3.477139385,,1,adult,total,319.277,5.766059065,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,36.5196,3.597849103,,1,adult,total,353.012,5.866502051,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
