study.id,diet.type,diet.details,protein,lipid,carbohydrate,nitrogen,carbon,organic,ash,energy.reported,energy.reported.units,energy.kJg,reference,Notes
1,animal,gut contents,,0.111,0.079,,,0.615,0.385,,,,"Crossman, D. J., Choat, J. H., & Clements, K. D. (2005). Nutritional ecology of nominally herbivorous fishes on coral reefs. Marine Ecology Progress Series, 296, 129–142. https://doi.org/10.3354/meps296134",
1,animal,gut contents,,0.137,0.047,,,0.849,0.151,,,,"Crossman, D. J., Choat, J. H., & Clements, K. D. (2005). Nutritional ecology of nominally herbivorous fishes on coral reefs. Marine Ecology Progress Series, 296, 129–142. https://doi.org/10.3354/meps296137",
1,plant,unspecified,,0.059,0.288,,,0.586,0.414,,,,"Crossman, D. J., Choat, J. H., & Clements, K. D. (2005). Nutritional ecology of nominally herbivorous fishes on coral reefs. Marine Ecology Progress Series, 296, 129–142. https://doi.org/10.3354/meps296129",
1,plant,unspecified,,0.047,0.421,,,0.784,0.216,,,,"Crossman, D. J., Choat, J. H., & Clements, K. D. (2005). Nutritional ecology of nominally herbivorous fishes on coral reefs. Marine Ecology Progress Series, 296, 129–142. https://doi.org/10.3354/meps296146",
1,plant,unspecified,,0.045,0.379,,,0.759,0.241,,,,"Crossman, D. J., Choat, J. H., & Clements, K. D. (2005). Nutritional ecology of nominally herbivorous fishes on coral reefs. Marine Ecology Progress Series, 296, 129–142. https://doi.org/10.3354/meps296147",
1,plant,unspecified,,0.067,0.303,,,0.678,0.322,,,,"Crossman, D. J., Choat, J. H., & Clements, K. D. (2005). Nutritional ecology of nominally herbivorous fishes on coral reefs. Marine Ecology Progress Series, 296, 129–142. https://doi.org/10.3354/meps296147",
2,plant,Enteromorpha intestinalis,0.169,,,,,,,,,,"Raubenheimer, D., Zemke-White, W. L., Phillips, R. J., & Clements, K. D. (2005). Algal Macronutrients and Food Selection by the Omnivorous Marine Fish Girella Tricuspidata. Ecology, 86(10), 2601–2610. https://doi.org/10.1890/04-1473",
2,plant,Ulva lactuca,0.176,,,,,,,,,,"Raubenheimer, D., Zemke-White, W. L., Phillips, R. J., & Clements, K. D. (2005). Algal Macronutrients and Food Selection by the Omnivorous Marine Fish Girella Tricuspidata. Ecology, 86(10), 2601–2610. https://doi.org/10.1890/04-1474",
3,plant,Codium,0.073,,0.138,,,0.683,0.317,,,,"Caceres, C. W., & Ojeda, F. P. (2000). Patrones de forrajeo en dos especies de peces intermareales herbívoros de las costas de Chile: Efecto de la abundancia y composición química del alimento. Revista Chilena de Historia Natural, 73(2), 253–260. https://doi.org/10.4067/S0716-078X2000000200004",soluble carbohydrates
3,plant,Enteromorpha,0.111,,0.157,,,0.661,0.339,,,,"Caceres, C. W., & Ojeda, F. P. (2000). Patrones de forrajeo en dos especies de peces intermareales herbívoros de las costas de Chile: Efecto de la abundancia y composición química del alimento. Revista Chilena de Historia Natural, 73(2), 253–260. https://doi.org/10.4067/S0716-078X2000000200004",soluble carbohydrates
3,plant,Ulva,0.095,,0.147,,,0.686,0.314,,,,"Caceres, C. W., & Ojeda, F. P. (2000). Patrones de forrajeo en dos especies de peces intermareales herbívoros de las costas de Chile: Efecto de la abundancia y composición química del alimento. Revista Chilena de Historia Natural, 73(2), 253–260. https://doi.org/10.4067/S0716-078X2000000200004",soluble carbohydrates
3,plant,Ceramiaceae,0.059,,0.147,,,0.699,0.301,,,,"Caceres, C. W., & Ojeda, F. P. (2000). Patrones de forrajeo en dos especies de peces intermareales herbívoros de las costas de Chile: Efecto de la abundancia y composición química del alimento. Revista Chilena de Historia Natural, 73(2), 253–260. https://doi.org/10.4067/S0716-078X2000000200004",soluble carbohydrates
